,0
0,MaxEStateIndex
1,MinEStateIndex
2,MaxAbsEStateIndex
3,MinAbsEStateIndex
4,qed
5,MolWt
6,HeavyAtomMolWt
7,ExactMolWt
8,NumValenceElectrons
9,NumRadicalElectrons
10,FpDensityMorgan1
11,FpDensityMorgan2
12,FpDensityMorgan3
13,BalabanJ
14,BertzCT
15,Chi0
16,Chi0n
17,Chi0v
18,Chi1
19,Chi1n
20,Chi1v
21,Chi2n
22,Chi2v
23,Chi3n
24,Chi3v
25,Chi4n
26,Chi4v
27,HallKierAlpha
28,Ipc
29,Kappa1
30,Kappa2
31,Kappa3
32,LabuteASA
33,PEOE_VSA1
34,PEOE_VSA10
35,PEOE_VSA11
36,PEOE_VSA12
37,PEOE_VSA13
38,PEOE_VSA14
39,PEOE_VSA2
40,PEOE_VSA3
41,PEOE_VSA4
42,PEOE_VSA5
43,PEOE_VSA6
44,PEOE_VSA7
45,PEOE_VSA8
46,PEOE_VSA9
47,SMR_VSA1
48,SMR_VSA10
49,SMR_VSA2
50,SMR_VSA3
51,SMR_VSA4
52,SMR_VSA5
53,SMR_VSA6
54,SMR_VSA7
55,SMR_VSA8
56,SMR_VSA9
57,SlogP_VSA1
58,SlogP_VSA10
59,SlogP_VSA11
60,SlogP_VSA12
61,SlogP_VSA2
62,SlogP_VSA3
63,SlogP_VSA4
64,SlogP_VSA5
65,SlogP_VSA6
66,SlogP_VSA7
67,SlogP_VSA8
68,SlogP_VSA9
69,TPSA
70,EState_VSA1
71,EState_VSA10
72,EState_VSA11
73,EState_VSA2
74,EState_VSA3
75,EState_VSA4
76,EState_VSA5
77,EState_VSA6
78,EState_VSA7
79,EState_VSA8
80,EState_VSA9
81,VSA_EState1
82,VSA_EState10
83,VSA_EState2
84,VSA_EState3
85,VSA_EState4
86,VSA_EState5
87,VSA_EState6
88,VSA_EState7
89,VSA_EState8
90,VSA_EState9
91,FractionCSP3
92,HeavyAtomCount
93,NHOHCount
94,NOCount
95,NumAliphaticCarbocycles
96,NumAliphaticHeterocycles
97,NumAliphaticRings
98,NumAromaticCarbocycles
99,NumAromaticHeterocycles
100,NumAromaticRings
101,NumHAcceptors
102,NumHDonors
103,NumHeteroatoms
104,NumRotatableBonds
105,NumSaturatedCarbocycles
106,NumSaturatedHeterocycles
107,NumSaturatedRings
108,RingCount
109,MolLogP
110,MolMR
111,fr_Al_COO
112,fr_Al_OH
113,fr_Al_OH_noTert
114,fr_ArN
115,fr_Ar_COO
116,fr_Ar_N
117,fr_Ar_NH
118,fr_Ar_OH
119,fr_COO
120,fr_COO2
121,fr_C_O
122,fr_C_O_noCOO
123,fr_C_S
124,fr_HOCCN
125,fr_Imine
126,fr_NH0
127,fr_NH1
128,fr_NH2
129,fr_N_O
130,fr_Ndealkylation1
131,fr_Ndealkylation2
132,fr_Nhpyrrole
133,fr_SH
134,fr_aldehyde
135,fr_alkyl_carbamate
136,fr_alkyl_halide
137,fr_allylic_oxid
138,fr_amide
139,fr_amidine
140,fr_aniline
141,fr_aryl_methyl
142,fr_azide
143,fr_azo
144,fr_barbitur
145,fr_benzene
146,fr_benzodiazepine
147,fr_bicyclic
148,fr_diazo
149,fr_dihydropyridine
150,fr_epoxide
151,fr_ester
152,fr_ether
153,fr_furan
154,fr_guanido
155,fr_halogen
156,fr_hdrzine
157,fr_hdrzone
158,fr_imidazole
159,fr_imide
160,fr_isocyan
161,fr_isothiocyan
162,fr_ketone
163,fr_ketone_Topliss
164,fr_lactam
165,fr_lactone
166,fr_methoxy
167,fr_morpholine
168,fr_nitrile
169,fr_nitro
170,fr_nitro_arom
171,fr_nitro_arom_nonortho
172,fr_nitroso
173,fr_oxazole
174,fr_oxime
175,fr_para_hydroxylation
176,fr_phenol
177,fr_phenol_noOrthoHbond
178,fr_phos_acid
179,fr_phos_ester
180,fr_piperdine
181,fr_piperzine
182,fr_priamide
183,fr_prisulfonamd
184,fr_pyridine
185,fr_quatN
186,fr_sulfide
187,fr_sulfonamd
188,fr_sulfone
189,fr_term_acetylene
190,fr_tetrazole
191,fr_thiazole
192,fr_thiocyan
193,fr_thiophene
194,fr_unbrch_alkane
195,fr_urea
